Estacao,Data,Hora,Precipitacao
83781,19/11/1962,1200,0
83781,20/11/1962,1200,0.2
83781,21/11/1962,1200,2.1
83781,22/11/1962,1200,15
83781,23/11/1962,1200,0
83781,24/11/1962,1200,0
83781,25/11/1962,1200,0
83781,26/11/1962,1200,0
83781,27/11/1962,1200,0
83781,28/11/1962,1200,0.8
83781,29/11/1962,1200,0
83781,30/11/1962,1200,0.4
83781,01/12/1962,1200,0
83781,02/12/1962,1200,0
83781,03/12/1962,1200,0
83781,04/12/1962,1200,8
83781,05/12/1962,1200,0
83781,06/12/1962,1200,20.8
83781,07/12/1962,1200,1.3
83781,08/12/1962,1200,0
83781,09/12/1962,1200,0
83781,10/12/1962,1200,0.5
83781,11/12/1962,1200,0.7
83781,12/12/1962,1200,52.9
83781,13/12/1962,1200,27.7
83781,14/12/1962,1200,0.4
83781,15/12/1962,1200,0
83781,16/12/1962,1200,0
83781,17/12/1962,1200,0
83781,18/12/1962,1200,3
83781,19/12/1962,1200,16.6
83781,20/12/1962,1200,0.1
83781,21/12/1962,1200,0
83781,22/12/1962,1200,0
83781,23/12/1962,1200,0
83781,24/12/1962,1200,0
83781,25/12/1962,1200,8.2
83781,26/12/1962,1200,0
83781,27/12/1962,1200,13.4
83781,28/12/1962,1200,12
83781,29/12/1962,1200,0.6
83781,30/12/1962,1200,41
83781,31/12/1962,1200,29.1
83781,01/01/1963,1200,31
83781,02/01/1963,1200,33.2
83781,03/01/1963,1200,0.5
83781,04/01/1963,1200,0
83781,05/01/1963,1200,0
83781,06/01/1963,1200,0
83781,07/01/1963,1200,4.6
83781,08/01/1963,1200,0
83781,09/01/1963,1200,0
83781,10/01/1963,1200,50.9
83781,11/01/1963,1200,1.5
83781,12/01/1963,1200,56.2
83781,13/01/1963,1200,5.2
83781,14/01/1963,1200,0
83781,15/01/1963,1200,0.7
83781,16/01/1963,1200,7.8
83781,17/01/1963,1200,0.7
83781,18/01/1963,1200,4.6
83781,19/01/1963,1200,0
83781,20/01/1963,1200,0.3
83781,21/01/1963,1200,0.3
83781,22/01/1963,1200,2.4
83781,23/01/1963,1200,1.5
83781,24/01/1963,1200,0
83781,25/01/1963,1200,2
83781,26/01/1963,1200,15.3
83781,27/01/1963,1200,0
83781,28/01/1963,1200,0
83781,29/01/1963,1200,0
83781,30/01/1963,1200,0
83781,31/01/1963,1200,0.4
83781,01/02/1963,1200,9.8
83781,02/02/1963,1200,0
83781,03/02/1963,1200,11.8
83781,04/02/1963,1200,2.2
83781,05/02/1963,1200,11.9
83781,06/02/1963,1200,14.3
83781,07/02/1963,1200,6.4
83781,08/02/1963,1200,5.9
83781,09/02/1963,1200,0.2
83781,10/02/1963,1200,0
83781,11/02/1963,1200,0
83781,12/02/1963,1200,0.1
83781,13/02/1963,1200,0
83781,14/02/1963,1200,10
83781,15/02/1963,1200,0
83781,16/02/1963,1200,0
83781,17/02/1963,1200,29.1
83781,18/02/1963,1200,0
83781,19/02/1963,1200,0.1
83781,20/02/1963,1200,73.2
83781,21/02/1963,1200,5.7
83781,22/02/1963,1200,7.3
83781,23/02/1963,1200,0.1
83781,24/02/1963,1200,0
83781,25/02/1963,1200,30.1
